CityName,StateCode,StateName,Latitude,Longitude, Population ,TimezoneCode
Fountain Valley,CA,California,33.7105,-117.9514," 56,313 ",P
Diamond Bar,CA,California,33.9992,-117.8161," 56,665 ",P
Carson City,NV,Nevada,39.1512,-119.7474," 57,525 ",P
Walla Walla,WA,Washington,46.067,-118.3365," 57,779 ",P
Santee,CA,California,32.8555,-116.9856," 58,113 ",P
Arcadia,CA,California,34.1342,-118.0373," 58,799 ",P
Huntington Park,CA,California,33.98,-118.2167," 58,822 ",P
San Rafael,CA,California,37.9905,-122.5222," 59,070 ",P
La Mesa,CA,California,32.7703,-117.0204," 60,021 ",P
Woodland,CA,California,38.6712,-121.75," 60,062 ",P
Gardena,CA,California,33.8944,-118.3073," 60,224 ",P
Lakewood,WA,Washington,47.1628,-122.5299," 60,296 ",P
Cupertino,CA,California,37.3168,-122.0465," 60,777 ",P
Albany,OR,Oregon,44.6274,-123.0966," 60,795 ",P
Dublin,CA,California,37.7161,-121.8964," 60,939 ",P
Monterey Park,CA,California,34.0497,-118.1325," 61,044 ",P
National City,CA,California,32.6654,-117.0983," 61,363 ",P
Springfield,OR,Oregon,44.0538,-122.9811," 62,353 ",P
San Luis Obispo,CA,California,35.2671,-120.6689," 62,398 ",P
Brentwood,CA,California,37.9355,-121.7191," 62,433 ",P
La Habra,CA,California,33.9278,-117.9513," 62,466 ",P
Encinitas,CA,California,33.0492,-117.2613," 63,184 ",P
Montebello,CA,California,34.0155,-118.1108," 63,192 ",P
Eastvale,CA,California,33.9617,-117.5802," 63,211 ",P
Pico Rivera,CA,California,33.9902,-118.0888," 63,522 ",P
Tulare,CA,California,36.1996,-119.34," 63,855 ",P
Redmond,WA,Washington,47.6762,-122.1166," 64,291 ",P
Sammamish,WA,Washington,47.6019,-122.0419," 64,548 ",P
Rocklin,CA,California,38.8075,-121.2488," 64,838 ",P
San Clemente,CA,California,33.4498,-117.6103," 65,267 ",P
Longview,WA,Washington,46.146,-122.963," 65,619 ",P
Laguna Niguel,CA,California,33.5275,-117.705," 66,334 ",P
Lake Elsinore,CA,California,33.6843,-117.3348," 66,411 ",P
Corvallis,OR,Oregon,44.5697,-123.278," 66,441 ",P
Palo Alto,CA,California,37.3913,-122.1467," 67,178 ",P
Petaluma,CA,California,38.2423,-122.6267," 67,316 ",P
South San Francisco,CA,California,37.6536,-122.4197," 67,429 ",P
Redondo Beach,CA,California,33.8574,-118.3766," 67,908 ",P
Yorba Linda,CA,California,33.889,-117.7714," 68,229 ",P
Mount Vernon,WA,Washington,48.4202,-122.3116," 69,528 ",P
Walnut Creek,CA,California,37.9025,-122.0398," 69,773 ",P
Lynwood,CA,California,33.924,-118.2017," 71,099 ",P
Wenatchee,WA,Washington,47.4338,-120.3285," 71,512 ",P
Redlands,CA,California,34.0512,-117.171," 71,554 ",P
Pittsburg,CA,California,38.019,-121.8969," 72,141 ",P
Lodi,CA,California,38.1218,-121.2932," 72,890 ",P
Pasco,WA,Washington,46.2503,-119.1298," 73,013 ",P
Apple Valley,CA,California,34.5329,-117.2102," 73,077 ",P
Rancho Cordova,CA,California,38.5739,-121.2521," 73,563 ",P
Camarillo,CA,California,34.223,-119.0323," 74,682 ",P
Union City,CA,California,37.603,-122.0187," 75,343 ",P
San Ramon,CA,California,37.7625,-121.9365," 75,931 ",P
Baldwin Park,CA,California,34.0829,-117.972," 76,402 ",P
Davis,CA,California,38.5552,-121.7365," 76,524 ",P
Porterville,CA,California,36.0644,-119.0337," 76,729 ",P
Upland,CA,California,34.1178,-117.6603," 76,999 ",P
Watsonville,CA,California,36.9205,-121.7706," 77,700 ",P
Bellflower,CA,California,33.888,-118.1271," 77,772 ",P
Perris,CA,California,33.7899,-117.2233," 77,879 ",P
Folsom,CA,California,38.6669,-121.1422," 78,038 ",P
Milpitas,CA,California,37.4338,-121.8921," 78,106 ",P
Alameda,CA,California,37.767,-122.2673," 79,177 ",P
Chino Hills,CA,California,33.9508,-117.7254," 80,374 ",P
Tustin,CA,California,33.7309,-117.8106," 80,498 ",P
Auburn,WA,Washington,47.3041,-122.211," 80,776 ",P
Lakewood,CA,California,33.8471,-118.1221," 80,967 ",P
Mountain View,CA,California,37.4,-122.0796," 81,438 ",P
Pleasanton,CA,California,37.6664,-121.8805," 83,007 ",P
Buena Park,CA,California,33.8572,-118.0046," 83,015 ",P
Madera,CA,California,36.964,-120.0803," 83,636 ",P
Lake Forest,CA,California,33.6607,-117.6712," 84,293 ",P
Alhambra,CA,California,34.084,-118.1355," 85,396 ",P
Newport Beach,CA,California,33.6151,-117.8669," 86,160 ",P
Redwood City,CA,California,37.5026,-122.2252," 86,685 ",P
Whittier,CA,California,33.9678,-118.0188," 86,838 ",P
Napa,CA,California,38.2977,-122.3011," 87,032 ",P
Hawthorne,CA,California,33.9147,-118.3476," 87,854 ",P
Citrus Heights,CA,California,38.6948,-121.288," 87,931 ",P
Kirkland,WA,Washington,47.6997,-122.2041," 88,630 ",P
Chino,CA,California,33.9836,-117.6653," 89,797 ",P
San Leandro,CA,California,37.7071,-122.1601," 90,553 ",P
Menifee,CA,California,33.6909,-117.1849," 90,595 ",P
Livermore,CA,California,37.6861,-121.7608," 91,030 ",P
Westminster,CA,California,33.7523,-117.9938," 91,564 ",P
Hanford,CA,California,36.326,-119.654," 92,066 ",P
Santa Monica,CA,California,34.0232,-118.4813," 92,306 ",P
Carson,CA,California,33.8374,-118.2559," 92,735 ",P
Hesperia,CA,California,34.3974,-117.3144," 94,859 ",P
South Gate,CA,California,33.9447,-118.1926," 95,430 ",P
Tracy,CA,California,37.726,-121.444," 95,982 ",P
San Marcos,CA,California,33.1349,-117.1744," 96,198 ",P
Federal Way,WA,Washington,47.309,-122.3359," 96,690 ",P
Beaverton,OR,Oregon,45.4779,-122.8168," 97,514 ",P
Compton,CA,California,33.893,-118.2275," 97,612 ",P
Spokane Valley,WA,Washington,47.6625,-117.2346," 97,847 ",P
Manteca,CA,California,37.7938,-121.227," 98,736 ",P
Vacaville,CA,California,38.3592,-121.9686," 100,801 ",P
Sparks,NV,Nevada,39.5729,-119.7157," 100,888 ",P
Renton,WA,Washington,47.4758,-122.1905," 101,379 ",P
Vista,CA,California,33.1895,-117.2387," 101,568 ",P
Bend,OR,Oregon,44.0562,-121.3087," 103,349 ",P
Rialto,CA,California,34.1128,-117.3885," 103,562 ",P
El Cajon,CA,California,32.8017,-116.9604," 103,894 ",P
San Mateo,CA,California,37.5522,-122.3122," 104,748 ",P
Burbank,CA,California,34.1879,-118.3234," 104,834 ",P
Norwalk,CA,California,33.9069,-118.0829," 106,084 ",P
Chico,CA,California,39.7574,-121.815," 106,268 ",P
Hillsboro,OR,Oregon,45.5271,-122.9358," 106,894 ",P
Daly City,CA,California,37.6863,-122.4684," 107,074 ",P
Turlock,CA,California,37.5053,-120.8588," 107,208 ",P
West Covina,CA,California,34.0555,-117.9113," 107,598 ",P
Clovis,CA,California,36.8278,-119.6841," 109,691 ",P
Richmond,CA,California,37.9477,-122.339," 110,040 ",P
Everett,WA,Washington,47.9524,-122.167," 110,079 ",P
Inglewood,CA,California,33.9566,-118.3444," 110,598 ",P
Gresham,OR,Oregon,45.5023,-122.4414," 111,053 ",P
El Centro,CA,California,32.7873,-115.5579," 112,145 ",P
Coeur d'Alene,ID,Idaho,47.7039,-116.7933," 112,935 ",P
Downey,CA,California,33.9379,-118.1312," 113,092 ",P
Costa Mesa,CA,California,33.6667,-117.9135," 113,825 ",P
Temecula,CA,California,33.4928,-117.1314," 114,327 ",P
Carlsbad,CA,California,33.1246,-117.2837," 115,330 ",P
El Monte,CA,California,34.074,-118.0291," 116,109 ",P
Gilroy,CA,California,37.0047,-121.5843," 116,235 ",P
Seaside,CA,California,36.6224,-121.8191," 118,110 ",P
Yuba City,CA,California,39.1357,-121.6381," 120,186 ",P
Redding,CA,California,40.5698,-122.365," 120,270 ",P
Berkeley,CA,California,37.8723,-122.276," 122,324 ",P
Bellingham,WA,Washington,48.7543,-122.4687," 126,015 ",P
Santa Clara,CA,California,37.3646,-121.9679," 127,134 ",P
Simi Valley,CA,California,34.2663,-118.749," 127,864 ",P
Kent,WA,Washington,47.3887,-122.2128," 128,458 ",P
Yakima,WA,Washington,46.5923,-120.5496," 133,233 ",P
Roseville,CA,California,38.7691,-121.3178," 135,329 ",P
Santa Maria,CA,California,34.9333,-120.4432," 140,219 ",P
Fullerton,CA,California,33.8841,-117.9279," 140,392 ",P
Orange,CA,California,33.8038,-117.8219," 140,560 ",P
Pasadena,CA,California,34.1598,-118.139," 142,647 ",P
Merced,CA,California,37.3058,-120.4778," 144,117 ",P
Bellevue,WA,Washington,47.5953,-122.1551," 144,444 ",P
Torrance,CA,California,33.8346,-118.3417," 146,758 ",P
Fairfield,CA,California,38.2594,-122.0319," 147,582 ",P
Escondido,CA,California,33.1347,-117.0722," 151,969 ",P
Pomona,CA,California,34.0585,-117.7625," 152,939 ",P
Sunnyvale,CA,California,37.3835,-122.0257," 153,656 ",P
Palmdale,CA,California,34.5944,-118.1057," 157,519 ",P
Hayward,CA,California,37.6328,-122.0772," 160,500 ",P
Marysville,WA,Washington,48.0809,-122.1558," 166,541 ",P
Corona,CA,California,33.862,-117.5644," 167,836 ",P
Medford,OR,Oregon,42.3372,-122.8537," 168,219 ",P
Elk Grove,CA,California,38.416,-121.384," 171,844 ",P
Vallejo,CA,California,38.1133,-122.2359," 173,844 ",P
Garden Grove,CA,California,33.7787,-117.9601," 174,226 ",P
Vancouver,WA,Washington,45.6352,-122.597," 175,673 ",P
Ontario,CA,California,34.0393,-117.6064," 175,841 ",P
Oceanside,CA,California,33.2247,-117.3083," 176,193 ",P
Hemet,CA,California,33.7341,-116.9969," 176,892 ",P
Rancho Cucamonga,CA,California,34.1247,-117.5664," 177,452 ",P
Santa Cruz,CA,California,36.9788,-122.0346," 177,556 ",P
Salinas,CA,California,36.6881,-121.6316," 193,590 ",P
Olympia,WA,Washington,47.0418,-122.8959," 196,078 ",P
Huntington Beach,CA,California,33.696,-118.0025," 201,874 ",P
Glendale,CA,California,34.1818,-118.2468," 203,054 ",P
Santa Barbara,CA,California,34.4285,-119.7202," 204,034 ",P
Moreno Valley,CA,California,33.9244,-117.2045," 207,226 ",P
Fontana,CA,California,34.0968,-117.4599," 211,815 ",P
Tacoma,WA,Washington,47.2431,-122.4531," 213,418 ",P
Bremerton,WA,Washington,47.5436,-122.7122," 216,480 ",P
San Bernardino,CA,California,34.1412,-117.2936," 216,995 ",P
Thousand Oaks,CA,California,34.1914,-118.8755," 218,729 ",P
Kennewick,WA,Washington,46.1979,-119.1732," 232,915 ",P
Visalia,CA,California,36.3273,-119.3264," 234,573 ",P
Fremont,CA,California,37.5265,-121.9852," 234,962 ",P
North Las Vegas,NV,Nevada,36.288,-115.0901," 242,975 ",P
Salem,OR,Oregon,44.9232,-123.0245," 259,816 ",P
Eugene,OR,Oregon,44.0563,-123.1173," 267,568 ",P
Chula Vista,CA,California,32.6281,-117.0145," 270,471 ",P
Irvine,CA,California,33.6772,-117.7738," 277,453 ",P
Henderson,NV,Nevada,36.0145,-115.0362," 302,539 ",P
Antioch,CA,California,37.9789,-121.7957," 302,885 ",P
Santa Clarita,CA,California,34.4155,-118.4992," 309,378 ",P
Santa Rosa,CA,California,38.4465,-122.706," 321,908 ",P
Santa Ana,CA,California,33.7366,-117.8819," 334,136 ",P
Victorville,CA,California,34.5277,-117.3537," 346,948 ",P
Lancaster,CA,California,34.6934,-118.1753," 349,218 ",P
Anaheim,CA,California,33.839,-117.8572," 352,497 ",P
Modesto,CA,California,37.6374,-121.0028," 381,398 ",P
Oxnard,CA,California,34.1962,-119.1819," 389,792 ",P
Stockton,CA,California,37.9766,-121.3112," 394,467 ",P
Spokane,WA,Washington,47.6671,-117.433," 403,043 ",P
Indio,CA,California,33.7346,-116.2346," 408,097 ",P
Oakland,CA,California,37.7903,-122.2165," 425,195 ",P
Reno,NV,Nevada,39.5497,-119.8483," 433,271 ",P
Long Beach,CA,California,33.8059,-118.161," 469,450 ",P
Murrieta,CA,California,33.5719,-117.1909," 483,681 ",P
Bakersfield,CA,California,35.353,-119.036," 574,362 ",P
Mission Viejo,CA,California,33.6095,-117.6551," 600,474 ",P
Concord,CA,California,37.9722,-122.0016," 654,770 ",P
Fresno,CA,California,36.7834,-119.7941," 698,021 ",P
San Jose,CA,California,37.3018,-121.8485," 1,821,899 ",P
Sacramento,CA,California,38.5667,-121.4683," 1,854,698 ",P
Portland,OR,Oregon,45.5372,-122.65," 2,052,796 ",P
Las Vegas,NV,Nevada,36.2291,-115.2607," 2,073,045 ",P
Riverside,CA,California,33.9381,-117.3948," 2,084,749 ",P
San Diego,CA,California,32.8312,-117.1226," 3,210,314 ",P
San Francisco,CA,California,37.7562,-122.443," 3,603,761 ",P
Seattle,WA,Washington,47.6211,-122.3244," 3,643,765 ",P
Los Angeles,CA,California,34.1139,-118.4068," 12,815,475 ",P
Prairie Ridge,WA,Washington,47.1443,-122.1408,,P
Edison,WA,Washington,48.5602,-122.4311,,P
Packwood,WA,Washington,46.6085,-121.6702,,P
Wautauga Beach,WA,Washington,47.5862,-122.5482,,P
Harper,WA,Washington,47.5207,-122.5196,,P
Telma,WA,Washington,47.8432,-120.8157,,P
Mondovi,WA,Washington,47.6813,-118.0164,,P
Pleasant Hill,WA,Washington,47.6154,-121.9096,,P
Wabash,WA,Washington,47.2429,-122.0576,,P
Marcellus,WA,Washington,47.2335,-118.4053,,P
Central Valley,WA,Washington,47.6632,-122.6499,,P
Ralston,WA,Washington,46.9838,-118.3427,,P
Lake City,WA,Washington,47.1487,-122.5512,,P
Megler,WA,Washington,46.2509,-123.8576,,P
Alder,WA,Washington,46.7872,-122.2666,,P
Goose Prairie,WA,Washington,46.8951,-121.267,,P
Belvedere,WA,Washington,48.0499,-118.985,,P
Turner Corner,WA,Washington,47.8045,-122.1435,,P
Lofall,WA,Washington,47.8114,-122.6563,,P
Kennydale,WA,Washington,47.5207,-122.2068,,P
Easton,WA,Washington,47.2405,-121.1733,,P
Navy Yard City,WA,Washington,47.5508,-122.6655,,P
Douglas,WA,Washington,47.6212,-120.0048,,P
Colbert,WA,Washington,47.8266,-117.3419,,P
Bryn Mawr,WA,Washington,47.5034,-122.2329,,P
Silverdale,WA,Washington,47.6663,-122.6828,,P
Lyle,WA,Washington,45.6956,-121.2805,,P
Malott,WA,Washington,48.2919,-119.6955,,P
Fairwood,WA,Washington,47.4467,-122.143,,P
Warm Beach,WA,Washington,48.1649,-122.3442,,P
Thomas,WA,Washington,47.3537,-122.229,,P
Parker,WA,Washington,46.5022,-120.4668,,P
Steptoe,WA,Washington,47.0075,-117.3502,,P
Vail,WA,Washington,46.8451,-122.6562,,P
Magnolia Beach,WA,Washington,47.382,-122.4832,,P
Lakeview,WA,Washington,47.1593,-122.4982,,P
Shaw Island,WA,Washington,48.5843,-122.9291,,P
Rosburg,WA,Washington,46.3076,-123.6344,,P
Onalaska,WA,Washington,46.5783,-122.7112,,P
Winchester,WA,Washington,47.249,-119.7198,,P
Chelatchie,WA,Washington,45.9279,-122.3795,,P
Allentown,WA,Washington,47.4943,-122.2762,,P
Novelty,WA,Washington,47.709,-121.9846,,P
Richmond Beach,WA,Washington,47.7695,-122.3901,,P
Lakota,WA,Washington,47.3329,-122.3723,,P
Farmer,WA,Washington,47.6126,-119.812,,P
Robe,WA,Washington,48.0973,-121.8135,,P
Elk Plain,WA,Washington,47.0448,-122.3671,,P
Ocean City,WA,Washington,47.0762,-124.1619,,P
Boulevard Park,WA,Washington,47.5135,-122.3159,,P
Newhalem,WA,Washington,48.6737,-121.2473,,P
Ford,WA,Washington,47.9082,-117.8058,,P
Quinault,WA,Washington,47.467,-123.8455,,P
Humptulips,WA,Washington,47.2491,-123.9348,,P
Hooper,WA,Washington,46.7749,-118.1486,,P
Walnut Grove,WA,Washington,45.6769,-122.6072,,P
Salkum,WA,Washington,46.5321,-122.6259,,P
Cunningham,WA,Washington,46.8221,-118.8064,,P
Irby,WA,Washington,47.3593,-118.8511,,P
Burbank,WA,Washington,46.1991,-118.9728,,P
Silver Lake,WA,Washington,46.2973,-122.8107,,P
Dash Point,WA,Washington,47.3131,-122.4153,,P
Pataha,WA,Washington,46.4732,-117.5366,,P
Laurel,WA,Washington,45.944,-121.3801,,P
Woods Creek,WA,Washington,47.8821,-121.8982,,P
McKenna,WA,Washington,46.9365,-122.55,,P
Revere,WA,Washington,47.0813,-117.9302,,P
Maltby,WA,Washington,47.8027,-122.1044,,P
Blanchard,WA,Washington,48.5934,-122.4166,,P
Artondale,WA,Washington,47.3023,-122.6398,,P
May Creek,WA,Washington,47.8555,-121.6744,,P
Home,WA,Washington,47.279,-122.7744,,P
Vashon,WA,Washington,47.4122,-122.4726,,P
Snoqualmie Falls,WA,Washington,47.5398,-121.8098,,P
Laurier,WA,Washington,48.9974,-118.2248,,P
Lake McMurray,WA,Washington,48.3129,-122.2317,,P
Martha Lake,WA,Washington,47.848,-122.2326,,P
Ariel,WA,Washington,45.9568,-122.5709,,P
Loon Lake,WA,Washington,48.0685,-117.6298,,P
Thornton,WA,Washington,47.1207,-117.3896,,P
Ronald,WA,Washington,47.2338,-121.0335,,P
Meadowdale,WA,Washington,47.8583,-122.3156,,P
Cottage Lake,WA,Washington,47.7466,-122.0755,,P
Allyn,WA,Washington,47.3863,-122.8386,,P
Barstow,WA,Washington,48.7783,-118.1329,,P
Tiger,WA,Washington,48.6916,-117.4077,,P
Junction City,WA,Washington,46.9713,-123.7651,,P
Blyn,WA,Washington,48.0131,-122.9897,,P
Lakebay,WA,Washington,47.257,-122.7585,,P
Tahuya,WA,Washington,47.3712,-123.0557,,P
Waukon,WA,Washington,47.5396,-117.8433,,P
Kitsap Lake,WA,Washington,47.5829,-122.7085,,P
Plain,WA,Washington,47.7626,-120.6573,,P
Tanner,WA,Washington,47.4813,-121.6922,,P
Stehekin,WA,Washington,48.3093,-120.6565,,P
North Hill,WA,Washington,47.4193,-122.3235,,P
Monse,WA,Washington,48.1413,-119.6778,,P
Chinook,WA,Washington,46.2755,-123.9425,,P
Wishram,WA,Washington,45.6599,-120.9698,,P
Cascade Valley,WA,Washington,47.1371,-119.3272,,P
Cathcart,WA,Washington,47.8525,-122.1058,,P
Brush Prairie,WA,Washington,45.725,-122.5483,,P
Amboy,WA,Washington,45.9122,-122.4795,,P
Centerville,WA,Washington,45.754,-120.9081,,P
Verlot,WA,Washington,48.1002,-121.7679,,P
Alstown,WA,Washington,47.561,-119.9951,,P
Synarep,WA,Washington,48.521,-119.3309,,P
Annapolis,WA,Washington,47.5476,-122.6207,,P
Port Gamble,WA,Washington,47.8543,-122.5838,,P
Similk Beach,WA,Washington,48.4479,-122.5779,,P
Cougar,WA,Washington,46.0515,-122.2995,,P
Eglon,WA,Washington,47.8626,-122.5146,,P
Paterson,WA,Washington,45.9371,-119.6028,,P
Minnehaha,WA,Washington,45.6577,-122.6204,,P
Alger,WA,Washington,48.6176,-122.3369,,P
Fragaria,WA,Washington,47.464,-122.5312,,P
Green Bluff,WA,Washington,47.819,-117.277,,P
Woodmont Beach,WA,Washington,47.3615,-122.3121,,P
Frances,WA,Washington,46.5423,-123.5049,,P
Clayton,WA,Washington,48.0012,-117.5611,,P
White Swan,WA,Washington,46.3769,-120.7382,,P
Camano,WA,Washington,48.1865,-122.4708,,P
Cedar Grove,WA,Washington,47.4357,-122.0621,,P
Winton,WA,Washington,47.7354,-120.7412,,P
East Olympia,WA,Washington,46.9676,-122.8357,,P
Sunset Beach,WA,Washington,47.2182,-122.5726,,P
Belfair,WA,Washington,47.4512,-122.8473,,P
Oso,WA,Washington,48.2836,-121.9238,,P
Scandia,WA,Washington,47.7165,-122.6579,,P
Quilcene,WA,Washington,47.8369,-122.9058,,P
Covada,WA,Washington,48.2204,-118.2089,,P
Keyport,WA,Washington,47.6993,-122.6232,,P
Juanita,WA,Washington,47.7032,-122.2071,,P
Molson,WA,Washington,48.981,-119.2006,,P
Daisy,WA,Washington,48.3613,-118.16,,P
Venersborg,WA,Washington,45.786,-122.4721,,P
West Lake Sammamish,WA,Washington,47.5776,-122.1012,,P
