TeamName,TeamNickname,LeagueName,Abbreviation,City,State,Country,DivisionName,ConferenceName,DefaultOffensiveScheme,DefaultDefensiveScheme,TeamTalent,TeamColor_Primary_HEX,TeamColor_Secondary_HEX,TeamJerseyInvert,Team Prestige,Facilities,Pro Potential,Campus Lifestyle,Academic Prestige,Television Exposure,Coach Loyalty,Location,Championship Contender
SMU,Mustangs,NCAA,SMU,University Park,Texas,USA,West,American Athletic Conference,Air Raid,3/3/05,75,C2032C,27388F,0,50,40,50,60,70,40,50,70,50
Florida State,Seminoles,NCAA,FSU,Tallahassee,Florida,USA,Coastal,Atlantic Coast Conference,Spread,4/2/05,91,642132,A8936B,0,70,70,100,80,40,70,50,60,70
Miami,Hurricanes,NCAA,MIA,Coral Gables,Florida,USA,Coastal,Atlantic Coast Conference,Spread,4/2/05,75,F47321,5030,0,60,70,90,90,50,80,50,90,60
Georgia Tech,Yellow Jackets,NCAA,GT,Atlanta,Georgia,USA,Coastal,Atlantic Coast Conference,Triple Option,3-Apr,76,B3A369,091D3A,0,50,40,30,10,90,40,50,70,50
Louisville,Cardinals,NCAA,U of L,Louisville,Kentucky,USA,Atlantic,Atlantic Coast Conference,Spread,3-Apr,80,FD0B20,70707,0,50,60,50,50,30,40,50,45,50
Boston College,Eagles,NCAA,BC,Chestnut Hill,Massachusetts,USA,Atlantic,Atlantic Coast Conference,Heavy Run,3-Apr,74,821E1E,DBCCA4,0,40,50,30,30,70,30,50,70,40
Syracuse,Orange,NCAA,SYR,Syracuse,New York,USA,Atlantic,Atlantic Coast Conference,Spread,3-Apr,73,C82F04,06162E,0,40,50,30,30,40,40,50,30,40
Duke,Blue Devils,NCAA,DUKE,Durham,North Carolina,USA,Atlantic,Atlantic Coast Conference,Pro Style,4-Mar,99,80089,FFFFFF,0,50,50,30,40,90,40,99,60,50
NC State,Wolfpack,NCAA,NCST,Raleigh,North Carolina,USA,Atlantic,Atlantic Coast Conference,Spread,3-Apr,77,CC0000,0,0,40,30,40,60,60,40,50,55,40
North Carolina,Tar Heels,NCAA,UNC,Chapel Hill,North Carolina,USA,Atlantic,Atlantic Coast Conference,Spread,3-Apr,96,7BAFD4,FFFFFF,0,50,70,60,70,80,40,99,60,50
Wake Forest,Demon Deacons,NCAA,WAKE,Winston-Salem,North Carolina,USA,Coastal,Atlantic Coast Conference,Spread,3-Apr,70,A67F31,0,0,30,20,20,20,85,30,50,55,30
Pittsburgh,Panthers,NCAA,PITT,Pittsburgh,Pennsylvania,USA,Atlantic,Atlantic Coast Conference,Pro Style,3-Apr,60,2083,FEB01D,0,40,50,40,30,70,40,50,45,40
Clemson,Tigers,NCAA,CLEM,Clemson,South Carolina,USA,Coastal,Atlantic Coast Conference,Spread,3-Apr,71,F06014,441F6F,0,100,100,90,80,30,100,50,40,100
Virginia,Cavaliers,NCAA,UVA,Charlottesville,Virginia,USA,Coastal,Atlantic Coast Conference,Pro Style,3-Apr,95,232D4B,F84C1E,0,30,40,20,60,90,30,99,75,30
Virginia Tech,Hokies,NCAA,VT,Blacksburg,Virginia,USA,Coastal,Atlantic Coast Conference,Pro Style,3-Apr,87,630031,CF4420,0,50,50,60,70,80,40,50,40,50
Iowa State,Cyclones,NCAA,ISU,Ames,Iowa,USA,,Big 12 Conference,Spread,3-Apr,83,840A2C,FEC938,0,50,50,30,30,20,40,50,30,50
Kansas,Jayhawks,NCAA,KU,Lawrence,Kansas,USA,,Big 12 Conference,Spread,3-Apr,88,0051BA,E8000D,0,30,30,30,40,20,30,50,40,30
Kansas State,Wildcats,NCAA,KSU,Manhattan,Kansas,USA,,Big 12 Conference,Heavy Run,3-Apr,83,633194,FFFFFF,0,40,40,30,30,20,40,50,30,40
Oklahoma,Sooners,NCAA,OU,Norman,Oklahoma,USA,,Big 12 Conference,Air Raid,4/2/05,77,950026,FDF9D8,0,90,90,90,40,20,100,50,30,90
Oklahoma State,Cowboys,NCAA,OKST,Stillwater,Oklahoma,USA,,Big 12 Conference,Air Raid,3-Apr,73,EF641A,0,0,40,60,40,40,20,40,50,40,40
Baylor,Bears,NCAA,BAY,Waco,Texas,USA,,Big 12 Conference,Air Raid,4/2/05,76,118353,FCB212,0,50,70,50,30,60,50,50,30,50
TCU,Horned Frogs,NCAA,TCU,Fort Worth,Texas,USA,,Big 12 Conference,Spread,4/2/05,75,3D156F,A3A9AC,0,60,70,60,50,60,50,50,60,60
Texas,Longhorns,NCAA,UT,Austin,Texas,USA,,Big 12 Conference,Pro Style,3-Apr,78,D65918,FFFFFF,0,80,90,80,80,90,90,50,85,80
Texas Tech,Red Raiders,NCAA,TTU,Lubbock,Texas,USA,,Big 12 Conference,Air Raid,3-Apr,83,CC0000,0,0,50,70,60,20,20,40,50,30,50
West Virginia,Mountaineers,NCAA,WVU,Morgantown,West Virginia,USA,,Big 12 Conference,Air Raid,3-Apr,86,134B9B,EAAA00,0,50,60,40,30,20,40,50,30,50
Illinois,Fighting Illini,NCAA,ILL,Urbana,Illinois,USA,West,Big Ten Conference,Pro Style,3-Apr,50,E1311B,0A1A39,0,40,40,30,30,70,40,60,45,40
Northwestern,Wildcats,NCAA,NU,Evanston,Illinois,USA,West,Big Ten Conference,Spread,3-Apr,50,4E2A84,FFFFFF,0,40,70,40,30,70,30,60,65,40
Indiana,Hoosiers,NCAA,IU,Bloomington,Indiana,USA,West,Big Ten Conference,Air Raid,3-Apr,50,860001,FFFFFF,0,30,40,20,30,70,30,60,45,30
Purdue,Boilermakers,NCAA,PUR,West Lafayette,Indiana,USA,East,Big Ten Conference,Pro Style,3-Apr,50,CEB888,0,0,40,60,30,30,70,40,60,45,40
Iowa,Hawkeyes,NCAA,IOWA,Iowa City,Iowa,USA,West,Big Ten Conference,Heavy Run,3-Apr,50,FFD700,0,0,60,60,50,30,70,50,60,40,60
Maryland,Terrapins,NCAA,UM,College Park,Maryland,USA,East,Big Ten Conference,Air Raid,3-Apr,50,D5002B,FEC619,0,40,50,50,30,70,40,60,55,40
Michigan,Wolverines,NCAA,MICH,Ann Arbor,Michigan,USA,East,Big Ten Conference,Pro Style,3-Apr,50,00274C,FFCB05,0,80,80,80,30,70,90,60,55,80
Michigan State,Spartans,NCAA,MSU,East Lansing,Michigan,USA,East,Big Ten Conference,Pro Style,3-Apr,50,1C453A,FFFFFF,0,70,70,60,30,70,60,60,50,70
Minnesota,Golden Gophers,NCAA,MINN,Minneapolis,Minnesota,USA,West,Big Ten Conference,Pro Style,3-Apr,50,7A0019,FBB246,0,50,60,40,30,70,40,60,45,50
Nebraska,Cornhuskers,NCAA,NEB,Lincoln,Nebraska,USA,West,Big Ten Conference,Spread,3-Apr,50,DC0029,FFFFFF,0,50,70,60,30,70,50,60,30,50
Rutgers,Scarlet Knights,NCAA,RUT,New Brunswick,New Jersey,USA,East,Big Ten Conference,Spread,3-Apr,50,CC0033,5F6A72,0,30,30,30,30,70,30,60,45,30
Ohio State,Buckeyes,NCAA,OSU,Columbus,Ohio,USA,East,Big Ten Conference,Spread,3-Apr,50,CA0321,A6ADA1,0,90,100,100,30,70,100,60,55,90
Penn State,Nittany Lions,NCAA,PSU,State College,Pennsylvania,USA,East,Big Ten Conference,Spread,3-Apr,50,151F49,FFFFFF,0,80,70,70,30,70,80,60,50,80
Wisconsin,Badgers,NCAA,WIS,Madison,Wisconsin,USA,West,Big Ten Conference,Heavy Run,3-Apr,50,B70021,FFFFFF,0,80,60,60,30,70,70,60,45,80
UAB,Blazers,NCAA,UAB,Birmingham,Alabama,USA,East,Conference USA,Air Raid,3-Apr,50,,,0,20,20,10,30,30,10,30,20,20
Florida Atlantic,Owls,NCAA,FAU,Boca Raton,Florida,USA,East,Conference USA,Air Raid,3-Apr,50,004B85,CD1041,0,20,30,10,30,30,10,30,20,20
Florida International,Panthers,NCAA,FIU,Miami,Florida,USA,East,Conference USA,Pro Style,3-Apr,50,002D62,C5960B,0,20,20,10,30,30,10,30,20,20
Western Kentucky,Hilltoppers,NCAA,WKU,Bowling Green,Kentucky,USA,West,Conference USA,Spread,3-Apr,50,,,0,10,10,10,30,30,10,30,20,10
Louisiana Tech,Bulldogs,NCAA,LTU,Ruston,Louisiana,USA,West,Conference USA,Air Raid,3-Apr,50,,,0,20,30,10,30,30,20,30,20,20
Southern Miss,Golden Eagles,NCAA,USM,Hattiesburg,Mississippi,USA,West,Conference USA,Spread,3-Apr,50,,,0,20,30,10,30,30,10,30,20,20
UNC Charlotte,49ers,NCAA,UNCC,Charlotte,North Carolina,USA,East,Conference USA,Air Raid,3-Apr,50,,,0,20,10,10,30,30,10,30,20,20
Middle Tennessee State,Blue Raiders,NCAA,MTSU,Murfreesboro,Tennessee,USA,East,Conference USA,Pro Style,3-Apr,50,,,0,10,10,10,30,30,10,30,20,10
North Texas,Mean Green,NCAA,UNT,Denton,Texas,USA,West,Conference USA,Spread,3-Apr,50,,,0,30,20,20,30,30,20,30,20,30
Rice,Owls,NCAA,RICE,Houston,Texas,USA,West,Conference USA,Pro Style,3-Apr,50,,,0,10,20,10,30,90,10,30,20,10
UTEP,Miners,NCAA,UTEP,El Paso,Texas,USA,West,Conference USA,Pro Style,3-Apr,50,,,0,20,10,10,30,30,10,30,20,20
UTSA,Roadrunners,NCAA,UTSA,San Antonio,Texas,USA,West,Conference USA,Triple Option,3-Apr,50,,,0,20,5,10,30,30,10,30,20,20
Old Dominion,Monarchs,NCAA,ODU,Norfolk,Virginia,USA,East,Conference USA,Air Raid,3-Apr,50,,,0,10,10,10,30,30,10,30,20,10
Marshall,Thundering Herd,NCAA,MARSH,Huntington,West Virginia,USA,East,Conference USA,Spread,3-Apr,50,,,0,10,10,10,30,30,10,30,20,10
Notre Dame,Fighting Irish,NCAA,ND,South Bend,Indiana,USA,,FBS Independents,Spread,4-Mar,80,0C2340,C99700,0,90,80,80,10,70,100,50,40,90
Umass,Minutemen,NCAA,UMASS,Amhert,Massachusetts,USA,,FBS Independents,Spread Option,3-Apr,20,830D24,7E8081,0,15,20,10,40,30,10,20,40,15
New Mexico State,Aggies,NCAA,NMSU,Las Cruces,New Mexico,USA,,FBS Independents,Heavy Run,2-Apr,10,750312,777777,0,10,10,5,20,20,5,40,15,10
Army,Black Knights,NCAA,ARMY,West Point,New York,USA,,FBS Independents,Triple Option,4-Mar,20,0,C9A06C,0,20,30,0,0,95,40,60,10,20
BYU,Cougars,NCAA,BYU,Provo,Utah,USA,,FBS Independents,Spread,2-Apr,30,1843,FFFFFF,0,30,40,40,5,30,40,60,30,30
Liberty,Flames,NCAA,LIB,Lynchburg,Virginia,USA,,FBS Independents,Spread,3-Apr,10,0A1B3D,850003,1,10,10,5,5,20,5,5,15,10
Northern Illinois,Huskies,NCAA,NIU,DeKalb,Illinois,USA,,Mid-American Conference,Pro Style,3-Apr,50,,,0,20,20,10,20,20,10,60,10,20
Ball State,Cardinals,NCAA,BALL,Muncie,Indiana,USA,,Mid-American Conference,Pro Style,3-Apr,50,DA0000,FFFFFF,0,20,20,10,20,20,10,60,10,20
Central Michigan,Chippewas,NCAA,CMU,Mount Pleasant,Michigan,USA,,Mid-American Conference,Air Raid,3-Apr,50,780006,E2A253,0,20,10,10,20,20,10,60,10,20
Eastern Michigan,Eagles,NCAA,EMU,Ypsilanti,Michigan,USA,,Mid-American Conference,Spread,3-Apr,50,0B5F24,FFFFFF,0,20,20,10,20,20,10,60,10,20
Western Michigan,Broncos,NCAA,WMU,Kalamazoo,Michigan,USA,,Mid-American Conference,Triple Option,3-Apr,50,,,0,20,10,10,20,20,10,60,10,20
Buffalo,Bulls,NCAA,BUF,Buffalo,New York,USA,,Mid-American Conference,Pro Style,3-Apr,50,,,0,20,20,10,20,20,10,60,10,20
Akron,Zips,NCAA,AKR,Akron,Ohio,USA,,Mid-American Conference,Pro Style,3-Apr,50,0,C29C41,0,20,20,10,20,20,10,60,10,20
Bowling Green,Falcons,NCAA,BG,Bowling Green,Ohio,USA,,Mid-American Conference,Spread,3-Apr,50,4E2400,F5793F,0,20,20,10,20,20,10,60,10,20
Kent State,Golden Flashes,NCAA,KENT,Kent,Ohio,USA,,Mid-American Conference,Spread,3-Apr,50,,,0,20,20,10,20,20,10,60,10,20
Miami (OH),Redhawks,NCAA,MIA,Oxford,Ohio,USA,,Mid-American Conference,Pro Style,3-Apr,50,,,0,20,10,10,20,20,10,60,10,20
Ohio,Bobcats,NCAA,OHIO,Athens,Ohio,USA,,Mid-American Conference,Pro Style,3-Apr,50,,,0,20,20,10,20,20,10,60,10,20
Toledo,Rockets,NCAA,TOL,Toledo,Ohio,USA,,Mid-American Conference,Air Raid,3-Apr,50,,,0,20,10,10,20,20,10,60,10,20
Fresno State,Bulldogs,NCAA,FRES,Fresno,California,USA,West,Mountain West Conference,Spread,3-Apr,50,E5003F,94183,0,30,30,20,30,30,20,50,35,30
San Diego State,Aztecs,NCAA,SDST,San Diego,California,USA,West,Mountain West Conference,Heavy Run,3-Apr,50,AF182A,0,0,30,40,30,30,30,30,50,85,30
San Jose State,Spartans,NCAA,SJSU,San Jose,California,USA,West,Mountain West Conference,Pro Style,3-Apr,50,134B9B,FBD016,0,20,10,10,30,30,10,50,45,20
Air Force,Falcons,NCAA,AFA,Colorado Springs,Colorado,USA,Mountain,Mountain West Conference,Triple Option,3/3/05,50,0061AA,FFFFFF,0,30,20,10,30,30,30,50,40,30
Colorado State,Rams,NCAA,CSU,Fort Collins,Colorado,USA,Mountain,Mountain West Conference,Spread,3-Apr,50,008C75,F8E793,0,30,20,20,30,30,20,50,55,30
Boise State,Broncos,NCAA,BSU,Boise,Idaho,USA,Mountain,Mountain West Conference,Spread,3-Apr,50,2D4492,F27E34,0,50,60,40,30,30,40,50,35,50
Nevada,Wolf Pack,NCAA,NEV,Reno,Nevada,USA,West,Mountain West Conference,Triple Option,3-Apr,50,16234D,0,0,30,30,20,30,30,20,50,40,30
UNLV,Rebels,NCAA,UNLV,Las Vegas,Nevada,USA,West,Mountain West Conference,Spread,3-Apr,50,C20035,C6C8C9,0,30,30,10,30,30,20,50,75,30
New Mexico,Lobos,NCAA,NM,Albuquerque,New Mexico,USA,Mountain,Mountain West Conference,Pro Style,3-Apr,50,,,0,20,10,10,30,30,10,50,35,20
Utah State,Aggies,NCAA,USU,Logan,Utah,USA,Mountain,Mountain West Conference,Spread,3-Apr,50,,,0,20,10,10,30,30,10,50,45,20
Wyoming,Cowboys,NCAA,WYO,Laramie,Wyoming,USA,Mountain,Mountain West Conference,Spread,3-Apr,50,6F4220,FFC425,0,30,10,20,30,30,10,50,30,30
Arizona,Wildcats,NCAA,ZONA,Tucson,Arizona,USA,South,Pac-12 Conference,Spread,4/2/05,50,243361,BB003A,0,50,50,40,90,20,40,60,70,50
Arizona State,Sun Devils,NCAA,ASU,Tempe,Arizona,USA,South,Pac-12 Conference,Spread,4/2/05,50,96203D,FEC927,0,50,60,40,90,20,40,60,65,50
California,Golden Bears,NCAA,CAL,Berkeley,California,USA,North,Pac-12 Conference,Spread,3-Apr,50,1D2161,E29819,0,40,50,40,60,80,30,60,65,40
Stanford,Cardinal,NCAA,STAN,Palo Alto,California,USA,North,Pac-12 Conference,Pro Style,4-Mar,50,950026,FFFFFF,0,60,60,60,30,90,50,60,75,60
UCLA,Bruins,NCAA,UCLA,Los Angeles,California,USA,South,Pac-12 Conference,Spread Option,4/2/05,50,2D68C4,F2A900,0,60,50,50,60,70,50,60,99,60
USC,Trojans,NCAA,USC,Los Angeles,California,USA,South,Pac-12 Conference,Pro Style,3-Apr,50,990000,FFC72C,0,80,70,100,80,80,90,60,99,80
Colorado,Buffaloes,NCAA,CU,Boulder,Colorado,USA,South,Pac-12 Conference,Spread,3-Apr,50,0,C4AB68,0,40,40,40,80,60,30,60,70,40
Oregon,Ducks,NCAA,ORE,Eugene,Oregon,USA,North,Pac-12 Conference,Spread Option,3/3/05,50,0C643F,FEE123,0,70,100,70,80,50,70,60,60,70
Oregon State,Beavers,NCAA,OSU,Corvallis,Oregon,USA,North,Pac-12 Conference,Pro Style,3-Apr,50,DC4405,0,0,40,50,30,30,40,30,60,45,40
Utah,Utes,NCAA,UTAH,Salt Lake City,Utah,USA,South,Pac-12 Conference,Spread,3/3/05,50,CC0000,808080,0,60,50,40,20,30,40,60,45,60
Washington,Huskies,NCAA,UW,Seattle,Washington,USA,North,Pac-12 Conference,Spread,3/3/05,50,3A3D5E,B7A57A,0,70,60,70,60,60,60,60,75,70
Washington State,Cougars,NCAA,WSU,Pullman,Washington,USA,North,Pac-12 Conference,Air Raid,3-Apr,50,951A30,5E6A71,0,50,40,40,20,20,30,60,35,50
Eastern Catholic,Hedgehogs,NCAA,ECC,Baltimore,Maryland,USA,,Sample Conference 1,Triple Option,3-Apr,90,A0000B,FEE123,0,40,30,40,80,40,50,60,50,60
Sun Belt,Eels,NCAA,SBU,Jackson,Mississippi,USA,,Sample Conference 1,Air Raid,3-Apr,90,5700,ECDF28,0,80,70,80,30,55,90,60,30,80
Texas Poly,Colonels,NCAA,TPU,San Antonio,Texas,USA,,Sample Conference 1,Air Raid,3-Apr,40,5A2D81,63727A,1,45,50,60,40,40,70,80,45,35
Northern California,Gunners,NCAA,NCU,Oakland,California,USA,,Sample Conference 2,Heavy Run,3-Apr,60,C5A566,0,0,60,90,80,70,60,70,10,60,70
Northern,Yetis,NCAA,NU,Minneapolis,Minnesota,USA,,Sample Conference 2,Air Raid,3-Apr,70,D65918,B7A57A,0,20,40,30,50,90,35,95,30,40
West College,Miners,NCAA,WC,Las Vegas,Nevada,USA,,Sample Conference 2,Air Raid,3-Apr,60,00274C,FF4208,0,70,80,60,75,60,75,40,85,20
Alabama,Crimson Tide,NCAA,BAMA,Tuscaloosa,Alabama,USA,West,Southeastern Conference,Pro Style,4-Mar,50,A80532,FFFFFF,0,100,100,100,55,40,100,50,40,100
Auburn,Tigers,NCAA,AUB,Auburn,Alabama,USA,West,Southeastern Conference,Spread Option,3-Apr,50,172240,FE3300,0,60,80,90,55,40,70,50,40,60
Arkansas,Razorbacks,NCAA,ARK,Fayetteville,Arkansas,USA,West,Southeastern Conference,Pro Style,3-Apr,50,8B0D26,0,0,40,60,40,55,40,40,50,35,40
Florida,Gators,NCAA,UF,Gainesville,Florida,USA,East,Southeastern Conference,Spread,3-Apr,50,2139CE,FF4208,0,70,70,90,55,40,70,50,50,70
Georgia,Bulldogs,NCAA,UGA,Athens,Georgia,USA,East,Southeastern Conference,Pro Style,3-Apr,50,A0000B,0,0,90,80,100,55,40,100,50,55,90
Kentucky,Wildcats,NCAA,UK,Lexington,Kentucky,USA,East,Southeastern Conference,Spread,4-Mar,50,3399,FFFFFF,0,50,80,40,55,40,50,50,40,50
LSU,Tigers,NCAA,LSU,Baton Rouge,Louisiana,USA,West,Southeastern Conference,Spread,4/2/05,50,33297B,FDB827,1,80,90,100,55,40,90,50,65,80
Mississippi State,Bulldogs,NCAA,MSST,Starkville,Mississippi,USA,West,Southeastern Conference,Heavy Run,4-Mar,50,660000,FFFFFF,0,50,60,60,55,40,40,50,45,50
Ole Miss,Rebels,NCAA,MISS,Oxford,Mississippi,USA,West,Southeastern Conference,Spread,3-Apr,50,F4002F,0D1A5F,0,50,60,70,55,40,50,50,40,50
Missouri,Tigers,NCAA,MIZZOU,Columbia,Missouri,USA,East,Southeastern Conference,Spread Option,3-Apr,50,0,F1B82D,0,50,60,50,55,40,40,50,50,50
South Carolina,Gamecocks,NCAA,SCAR,Columbia,South Carolina,USA,East,Southeastern Conference,Spread,3-Apr,50,73000A,0,0,50,90,70,55,40,40,50,40,50
Tennessee,Volunteers,NCAA,TENN,Knoxville,Tennessee,USA,East,Southeastern Conference,Pro Style,3-Apr,50,FF8200,FFFFFF,0,60,90,60,55,40,50,50,40,60
Vanderbilt,Commodores,NCAA,VANDY,Nashville,Tennessee,USA,East,Southeastern Conference,Pro Style,3-Apr,50,866D4B,0,0,40,40,30,45,99,40,50,70,40
Texas A&M,Aggies,NCAA,TAMU,College Station,Texas,USA,West,Southeastern Conference,Spread,4/2/05,50,500000,FFFFFF,0,70,100,70,55,40,70,50,50,70
South Alabama,Jaguars,NCAA,USA,Mobile,Alabama,USA,,Sun Belt Conference,Air Raid,3-Apr,50,,,0,20,10,10,30,30,10,30,20,20
Troy,Trojans,NCAA,TROY,Troy,Alabama,USA,,Sun Belt Conference,Spread,3-Apr,50,,,0,20,20,10,30,30,10,30,20,20
Arkansas State,Red Wolves,NCAA,ARST,Jonesboro,Arkansas,USA,,Sun Belt Conference,Pro Style,3-Apr,50,ED1B2E,0,0,20,20,10,30,30,10,30,20,20
Arkansas-Little Rock,Trojans,NCAA,UALR,Little Rock,Arkansas,USA,,Sun Belt Conference,Spread,3-Apr,50,AD0000,FFFFFF,0,20,20,10,30,30,10,30,20,20
Georgia Southern,Eagles,NCAA,GSU,Statesboro,Georgia,USA,,Sun Belt Conference,Triple Option,3-Apr,50,,,0,20,30,10,30,30,10,30,20,20
Georgia State,Panthers,NCAA,GSU,Atlanta,Georgia,USA,,Sun Belt Conference,Triple Option,3-Apr,50,,,0,20,30,10,30,30,10,30,20,20
Louisiana Lafayette,Ragin' Cajuns,NCAA,UL,Lafayette,Louisiana,USA,,Sun Belt Conference,Air Raid,3-Apr,50,,,0,20,10,10,30,30,10,30,20,20
Louisiana Monroe,Warhawks,NCAA,ULM,Monroe,Louisiana,USA,,Sun Belt Conference,Spread,3-Apr,50,,,0,20,20,10,30,30,10,30,20,20
Appalachian State,Mountaineers,NCAA,APP,Boone,North Carolina,USA,,Sun Belt Conference,Spread Option,2-May,50,FFC520,0,0,40,30,20,30,30,20,30,20,40
Coastal Carolina,Chanticleers,NCAA,CCU,Conway,South Carolina,USA,,Sun Belt Conference,Air Raid,3-Apr,50,9297,D59C3A,0,20,10,10,30,30,10,30,20,20
Texas State,Bobcats,NCAA,TEXST,San Marcos,Texas,USA,,Sun Belt Conference,Spread,3-Apr,50,,,0,20,10,10,30,30,10,30,20,20
