Team,Rival 1,Rival 2,Rival 3,Rival 4,Rival 5,Rival 6,Rival 7,Rival 8,
LSU,Alabama,Arkansas,Auburn,Florida,Ole Miss,Tulane,,,
Marshall,ECU,Ohio,West Virginia,,,,,,
Maryland,Duke,Navy,NC State,Virginia,West Virginia,,,,
Memphis,Louisville,Ole Miss,Southern Miss,UAB,,,,,
Miami,Boston College,Florida,Florida State,Virginia Tech,,,,,
Miami (OH),Cincinnati,Ohio,,,,,,,
Michigan,Michigan State,Minnesota,Notre Dame,Ohio State,,,,,
Michigan State,Indiana,Michigan,Notre Dame,Penn State,,,,,
Mid Tennessee State,North Texas,Troy,Western Kentucky,,,,,,
Minnesota,Iowa,Michigan,Penn State,Wisconsin,,,,,
Mississippi State,Alabama,Kentucky,Ole Miss,,,,,,
Missouri,Illinois,Iowa State,Kansas,Nebraska,Oklahoma,Texas A&M,,,
Navy,Air Force,Army,Maryland,Notre Dame,Rutgers,SMU,,,
Nebraska,Colorado,Iowa,Missouri,Oklahoma,Penn State,,,,
Nevada,Boise State,UNLV,,,,,,,
New Mexico,Arizona,New Mexico State,UTEP,,,,,,
New Mexico State,New Mexico,UTEP,,,,,,,
North Carolina,Duke,NC State,Virginia,Wake Forest,,,,,
North Carolina State,Clemson,Duke,ECU,Maryland,North Carolina,Wake Forest,,,
North Texas,Arkansas State,Mid Tenn State,SMU,,,,,,
Northern Illinois,Ball State,Toledo,,,,,,,
Northwestern,Illinois,,,,,,,,
Notre Dame,Boston College,Michigan,Michigan State,Navy,Pittsburgh,Purdue,Stanford,USC,
Ohio,Marshall,Miami (OH),,,,,,,
Ohio State,Illinois,Michigan,Penn State,,,,,,
Oklahoma,Missouri,Nebraska,Oklahoma State,Texas,,,,,
Oklahoma State,Oklahoma,Tulsa,,,,,,,
Old Dominion,Virginia,Virginia Tech,,,,,,,
Ole Miss,Alabama,Arkansas,LSU,Memphis,Mississippi State,Vanderbilt,,,
Oregon,Oregon State,Washington,,,,,,,
Oregon State,Oregon,Washington,Washington State,,,,,,
Penn State,Michigan State,Minnesota,Nebraska,Ohio State,Pittsburgh,Temple,,,
Pittsburgh,Cincinnati,Notre Dame,Penn State,Syracuse,Temple,West Virginia,,,
Purdue,Illinois,Indiana,Iowa,Notre Dame,,,,,
Rice,Houston,SMU,Tulsa,,,,,,
Rutgers,Army,Connecticut,Navy,,,,,,
San Diego State,BYU,Fresno State,San Jose State,,,,,,
San Jose State,Fresno State,San Diego State,Stanford,,,,,,
SMU,Houston,Navy,North Texas,Rice,TCU,,,,
South Alabama,Troy,,,,,,,,
South Carolina,Clemson,Florida,Georgia,,,,,,
Southern Miss,ECU,Louisiana Tech,Memphis,Tulane,UAB,,,,
Stanford,California,Notre Dame,San Jose State,USC,,,,,
Syracuse,Boston College,Buffalo,Connecticut,Pittsburgh,West Virginia,,,,
Temple,Buffalo,Penn State,Pittsburgh,,,,,,
Tennessee,Alabama,Florida,Kentucky,Vanderbilt,,,,,
Texas,Arkansas,Baylor,Oklahoma,Texas A&M,Texas Tech,,,,
Texas A&M,Arkansas,Baylor,Missouri,Texas,Texas Tech,,,,
Texas Christian,Baylor,Boise State,SMU,,,,,,
Texas State,UTSA,,,,,,,,
Texas Tech,Baylor,Texas,Texas A&M,,,,,,
Toledo,Bowling Green,Northern Illinois,,,,,,,
Troy,Florida Atlantic,Mid Tenn State,South Alabama,,,,,,
Tulane,LSU,Southern Miss,,,,,,,
Tulsa,Houston,Oklahoma State,Rice,UCF,UTEP,,,,
UAB,Memphis,Southern Miss,,,,,,,
UCF,ECU,Tulsa,USF,,,,,,
UCLA,California,USC,,,,,,,
ULM,Arkansas State,Louisiana Tech,Louisiana,,,,,,
UMass,Boston College,Connecticut,,,,,,,
UNLV,Nevada,,,,,,,,
USC,California,Notre Dame,UCLA,Stanford,,,,,
USF,UCF,,,,,,,,
Utah,BYU,Colorado,Utah State,,,,,,
Utah State,BYU,Utah,Wyoming,,,,,,
UTEP,New Mexico,New Mexico State,,,,,,,
UTSA,Texas State,,,,,,,,
Vanderbilt,Ole Miss,Tennessee,,,,,,,
Virginia,Florida State,Maryland,North Carolina,Old Dominion,Virginia Tech,,,,
Virginia Tech,Boston College,Georgia Tech,Miami,Old Dominion,Virginia,West Virginia,,,
Wake Forest,Duke,NC State,North Carolina,,,,,,
Washington,Oregon,Oregon State,Washington State,,,,,,
Washington State,Idaho,Oregon State,Washington,,,,,,
West Virginia,Louisville,Marshall,Maryland,Pittsburgh,Syracuse,Virginia Tech,,,
Western Kentucky,Mid Tenn State,,,,,,,,
Western Michigan,Central Michigan,Eastern Michigan,,,,,,,
Wisconsin,Iowa,Minnesota,,,,,,,
Wyoming,Colorado State,Hawai'i,Utah State,,,,,,
Appalachian State,East Carolina,Georgia Southern,Georgia State,Wake Forest,,,,,
Coastal Carolina,Liberty,,,,,,,,
Georgia Southern,Appalachian State,Georgia State,,,,,,,
Liberty,Coastal Carolina,,,,,,,,
,,,,,,,,,
,,,,,,,,,
